token,value,do not translate,character limit, comment
tutorial_g_mp_combo,"When you see this Nibbz, you need to BOTH hit the ball <style=action>at the same time</style>. Teamwork! \nGood luck, Sluggers!",,250,
tutorial_howtoplay,How to Play:,,250,
tutorial_r_intro,"To win, <style=action>BLOCK</style> the ball from your goal, and <style=action>KNOCK</style> it into your opponent's goal!",,250,
tutorial_r_serve,"To serve, use <icon=thumbstick> to <style=action>aim</style>, and then press <icon=swingbutton> to <style=action>hit</style> the ball.",,,
tutorial_r_serve_motion,"To serve, use <icon=thumbstick> to <style=action>aim</style>, and then press <icon=swingbutton> or <style=action>swing</style> your controller to <style=action>hit</style> the ball.",,,
tutorial_r_block,"Move <icon=thumbstick> to <style=name>block</style> the ball.  After blocking, Slugger will automatically <style=name>bunt</style> the ball away.",,250,
tutorial_r_hit,"To <style=action>hit</style> the ball instead of bunting, press <icon=swingbutton> when you block it.",,,
tutorial_r_hit_motion,"To <style=action>hit</style> the ball instead of bunting, press <icon=swingbutton> or <style=action>swing</style> your controller when you block it.",,,
tutorial_r_kickups,"To perform a <style=action>Power Shot</style>, press <icon=setbutton> to <style=name>set</style> the ball, and hit it with <icon=swingbutton> just as it lands. \n\nTIP: Listen to the beat!",,250,
tutorial_r_kickups_motion,"To perform a <style=action>Power Shot</style>, press <icon=setbutton> to <style=name>set</style> the ball, and press <icon=swingbutton> or <style=action>swing</style> your controller just as it lands. \n\nTIP: Listen to the beat!",,,
tutorial_r_flub,"Be careful! If you set the ball, but don't press <icon=swingbutton> when it lands, you will <style=name>flub</style> it.",,,
tutorial_r_aiming,Use <icon=thumbstick> to aim while the ball is in the air.,,250,
tutorial_r_spitters,The last player to serve or hit the ball gains control of <style=name>all</style> the Nibbzes.\n\n<style=action>Aim Nibbzes</style> with <icon=thumbstick>. ,,250,
tutorial_r_spitters2,"Nibbzes will automatically eat the ball, and spit it out 4 beats later.",,,
tutorial_r_spitters_power,"Make Nibbzes perform <style=action>Power Shots</style> by pressing <icon=swingbutton> as they spit out the ball.\nFor an <style=action>Instant Spit</style>, press <icon=swingbutton2> the moment the ball reaches them.",,250,
tutorial_r_power,You can also set up a <style=action>Power Shot</style> by pressing <icon=setbutton> any time you block the ball. \nGive it a try!,,250,
tutorial_streak,"To build your <style=action>streak</style>, never miss a ball, and only swing when you're supposed to. \n\nYour highest streak will boost your score!",,250,
tutorial_swing,Press <icon=swingbutton> to hit the ball.  Time each swing to the music to <style=name>maximize your score</style>.,,250,
tutorial_swing_motion,Press <icon=swingbutton> or <style=action>swing</style> your controller to hit the ball.  Time each swing to the music to <style=name>maximize your score</style>.,,,
tutorial_v_spikes,Sometimes you'll have to <style=name>SPIKE</style> the ball. Listen to the crowd for help with timing. \n\n<style=action>"3-2-1-GO!"</style>,,250,
tutorial_s_bombs,"If you hit a <style=action>Bomb</style>, you will lose 1 heart.",,250,
tutorial_s_directsh,Hit this to switch the direction of gameplay.  ,,250,
tutorial_s_items,Watch out for these special items. They all have different effects.,,250,
tutorial_s_speedup,Hit this to speed everything up.,,250,
tutorial_s_swipe,"To play, <style=action>AIM</style> with <icon=thumbstick> and press <icon=swingbutton> to <style=action>HIT</style> the ball.",,250,
tutorial_s_hit_motion,"To play, <style=action>AIM</style> with <icon=thumbstick> and press <icon=swingbutton> or <style=action>swing</style> your controller to <style=action>HIT</style> the ball.",,,
tutorial_s_winning,"When a Slugger runs out of health, they're <style=name>out of the game</style>. Be the last Slugger standing to win!",,250,
tutorial_s_nubbsify,Hit this to <style=name>Nubzify</style> the action.,,250,
tutorial_s_aliens_all,Each buddy hits the ball at a different speed. \nTIP: Aim for the fast ones!,,,UPDATED
tutorial_s_aliens_slower,Slower,,,
tutorial_s_aliens_faster,Faster,,,
tutorial_s_items_speedup,Speeds everything up,,,
tutorial_s_items_nubzify,Nubz Nubz Nubz,,,
tutorial_s_items_direct,Changes direction of play \n(3P-4P only),,,
tutorial_s_items_bomb,Removes 1 heart,,,
tutorial_s_welcome,"In this game, each Slugger will take turns hitting the ball to my buddies, and whoever misses will <style=name>lose 1 heart!</style>",,,
tutorial_t_laneswitch,Use <icon=thumbstick> to move left and right between lanes.,,250,
tutorial_t_doublelane,Press <icon=L> and <icon=R> to dash across <style=action>2 lanes at once</style> .,,,UPDATED
tutorial_t_mp_colors,<style=red>Red Nibbzes</style> throw <style=red>red balls</style> and <style=blue>blue Nibbzes</style> throw <style=blue>blue balls</style>. Only hit the balls that match your color!,,250,
tutorial_t_mp_unstack,The Slugger on top can jump down by moving out of the lane while the bottom Slugger stays still. \n\nTalk to each other to coordinate!,,250,
tutorial_t_mp_stacking,"Some Nibbzes float! \nTo hit their high balls, one Slugger must <style=action>jump on top</style> of the other by moving into their lane.  ",,250,
tutorial_t_mp_stackswitch,"While stacked, the top Slugger can flick <icon=thumb_down> to jump to the bottom.",,250,
tutorial_t_mp_stackmove,"When the bottom Slugger moves, both Sluggers move. ",,250,
tutorial_t_lobs,"<style=name>Big Baoz</style> throws balls really, really high. Don't forget about them!",,250,
tutorial_t_octo,Watch out for <style=name>Thro-bot</style>'s wild pitches! Time your swings right to keep crackin' homers!,,250,
tutorial_t_mp_intro,Whacky Bat with two Sluggers has some special rules!,,250,
tutorial_t_welcome,Let's get <style=action>whacky</style>! \nGet the best medal you can by hitting every pitch with <style=action>perfect timing</style>. ,,,
tutorial_v_spike_swing,<style=action>HIT!</style>,,250,
tutorial_v_superfast,"When you see this, the ball is about to come at you fast!",,250,
tutorial_v_mp_intro,"Since there are two of you, I, <style=action>Wubwub</style>, will play on the other side to make it fair.",,250,UPDATED
tutorial_v_mp_turns,Swing or press <icon=swingbutton> to hit the ball when it's your turn. \nWatch the <style=red>color</style> <style=blue>cues</style> to help you keep track!,,250,
tutorial_v_welcome,These <style=name>Squibzes</style> will try to make you miss the ball. \n\n<style=action>Don't miss the ball.</style>,,,UPDATED
volleyball_results_title_win,GREAT SPIKE!,,24,
wins_label,Wins:,,24,
toasty_drumsolo,DRUM SOLO!,,24,
toasty_serve,SERVE ALREADY,,24,
toasty_soclose,SO CLOSE,,24,
toasty_hello,HELLOOOO,,24,
toasty_selfown,D'OH!,,24,
toasty_pizza,PARTY!,,24,
toasty_boink,RESET!,,24,
songtitle_glee,Squibz's Glee,do not translate,32,
songtitle_shopping,Wubwub's Shopping Spree,do not translate,32,
songtitle_bump,Bump,do not translate,32,
songtitle_tubular,Tubular Tempo,do not translate,32,
songtitle_rocket,Rocket Rider,do not translate,32,
songtitle_interstellar,Interstellar VIP,do not translate,32,
songtitle_supersonic, Slugger's Supersonic Spike,do not translate,32,
songtitle_stardust,Shredding Stardust,do not translate,32,
songtitle_fighter,speed fighter,do not translate,32,
songtitle_puttputt,Putt Putt Prelude,do not translate,32,
songtitle_dayout,Wubwub's Day Out,do not translate,32,
songtitle_tango,Tee Time Tango,do not translate,32,
songtitle_warp,Wacky Warp,do not translate,32,
songtitle_elephant,Elephant Show,do not translate,32,
songtitle_drivin,Dream Drivin',do not translate,32,
songtitle_caddy,Caddy Cavern,do not translate,32,
songtitle_nightmare,Nibbz's Nightmare,do not translate,32,
songtitle_rise,The Rise of the Slugger,do not translate,32,
songtitle_bigleague,Thro-bot's Big League,do not translate,32,
songtitle_garden,Public Garden,do not translate,32,
songtitle_fastball,Fast Ball Nubz,do not translate,32,
songtitle_ringer,The Ringer,do not translate,32,
songtitle_sweatpants,Sweatpants,do not translate,32,
songtitle_dark,Running in the Dark,do not translate,32,
songtitle_party,Party Planet,do not translate,32,
songtitle_maniac,Bat Maniac,do not translate,32,
songtitle_baozbattle,Beat Sports Big Baoz Battle,do not translate,32,
songtitle_december,December Dance,do not translate,32,
songtitle_arctic,Arctic Arena,do not translate,32,
songtitle_palace,Palace,do not translate,32,
songtitle_spacerace,Space Race,do not translate,32,
songtitle_biggame,You Talk a Big Game,do not translate,32,
songtitle_sportoise,Sportoise,do not translate,32,
songtitle_weirdo,Weirdo,do not translate,32,
songtitle_dancey,Dancey Pants,do not translate,32,
songtitle_geewhiz,Gee Whiz,do not translate,32,
songtitle_magic,Magic,do not translate,32,
songtitle_polaria,Polaria,do not translate,32,
songtitle_snowball,Snowball Snake,do not translate,32,
songtitle_fanfare,Fanfare for the Common Nubz,do not translate,32,
songtitle_piddle,Piddle Paddle,do not translate,32,
songtitle_babysteps,Baby Steps,do not translate,32,
songtitle_protonibbz,ProtoNibbz,do not translate,32,
songtitle_jankees,Jankees,do not translate,32,
songtitle_comp,Competish,do not translate,32,
songtitle_nubble,Nubble Nibbles,do not translate,32,
songtitle_squeek,Squeek,do not translate,32,
songtitle_pep,Pep Talk,do not translate,32,
songtitle_mascot,Hug the Mascot,do not translate,32,
songtitle_saturn,Championship Rings of Saturn,do not translate,32,
songtitle_worm,Worm Burner,do not translate,32,
songtitle_glowstick,Glowstick,do not translate,32,
songtitle_movin,We Movin' too Fast,do not translate,32,
songtitle_bases,Roundin' Bases,do not translate,32,
songtitle_hugehug,Huge Hug,do not translate,32,
net_error_join_denied,Unable to connect with the other user(s).\n\nPlease try again.,,150,
net_error_connect_failed_alt,Unable to connect to the other console(s).\n\nPlease try again.,,150,UPDATED
net_error_connect_failed,Unable to connect to the other console.\n\nPlease try again.,,,UPDATED
net_error_unrecoverable,A network error has occurred.\n\nPlease try again.,,150,
net_not_enough_players,Not enough players remaining.\n\nReturning to menu.,,150,
net_no_remote_players_alt,Unable to connect with the other player(s).\n\nReturning to menu.,,150,UPDATED
net_no_remote_players,Unable to connect.\n\nReturning to menu.,,,UPDATED
net_confirm_leave_session_alt,Are you sure you want to leave this room?,,150,UPDATED
net_confirm_leave_session,Are you sure you want to leave this session?,,,UPDATED
net_remote_player_left_game_alt,A player has left the room. Ending session.,,2-Aug,UPDATED
net_remote_player_left_game,A player has left. Ending session.,,,UPDATED
net_local_player_left_game,A player's controller has been disconnected.\n\nReturning to menu.,,,
net_error_room_denied_alt,Unable to join this room.,,2-Aug,UPDATED
net_error_room_denied,Unable to connect with this console.,,,UPDATED
songtitle_kleatz,Kleatz,do not translate,32,Rhythm Racket Song 1
songtitle_ondeck,On Deck,do not translate,32,RR Song 2
songtitle_varsitygravity,Varsity Gravity,,32,RR Song 3
standards_motion_notice,Notice,,32,
standards_motion_strapusage,"When you play with a Joy-Con controller, attach the strap as shown.\n\nHold the Joy-Con controller securely and do not let go of it.\n\nBe mindful of your surroundings and other people when playing.",,340,
songtitle_buddyballin,Buddy Ballin',do not translate,32,A BB song
songtitle_moonjump,Moon Jump,do not translate,32,A BB song
songtitle_edgeofn00bular,Edge of the N00bular,,32,A BB song
songtitle_scoops,Scoops,,32,A BB song added 7/21
songtitle_random,???
